0,LLLRL,103
1,CJCBL,92
2,SSFXX,96
3,CIIII,109
4,XXMYM,96
5,BBXUG,92
6,ACFEC,91
7,UUROR,96
8,IDJJY,92
9,KSKLO,92
10,UDDDU,103
11,GGQQT,97
12,EEEEE,122
13,GGPIG,95
14,VEESP,92
15,YXUBB,91
16,NDNDO,100
17,OOOOO,122
18,BBBVU,99
19,MMDME,96
20,EEEPS,99
21,NNNSI,99
22,YAPPL,92
23,HOOOL,99
24,DDSWS,96
25,BBFLB,95
26,PQIMY,87
27,LYLVV,96
28,FFNNF,100
29,XXUQP,92
30,JRHJH,96
31,MWWKM,96
32,BBBBB,122
33,LRLLI,96
34,YTGJW,87
35,AAYRN,92
36,PPPPF,109
37,EEEFR,99
38,JJJNJ,103
39,JCGVS,87
40,OIXIO,96
41,IIEIE,104
42,VWVWW,103
43,RAVVA,96
44,KVECX,87
45,CWWWD,99
46,GGGGG,122
47,CECEE,103
48,AVVVU,99
49,TTPTH,96
50,RRRRA,109
51,RRBHS,92
52,ILVTC,87
53,EPEEP,104
54,CLFPE,87
55,TTTIT,103
56,QJRKJ,91
57,JJJJJ,122
58,IIIIJ,109
59,NNINI,104
60,YYYTT,103
61,MPQMP,100
62,QQQQF,109
63,AACAE,96
64,FVMEV,91
65,EIIII,109
66,AKFAL,92
67,JJJJJ,122
68,HHHHS,109
69,DDNNA,97
70,THRKK,91
71,SSSSS,122
72,FIEFI,100
73,XBXDX,95
74,OOOOG,109
75,KFSKV,92
76,VJCPV,91
77,FFFFF,122
78,YKESL,87
79,DDIDD,104
80,WKKWW,100
81,SSSSG,109
82,UIXUP,92
83,VVKYY,96
84,DDDOR,99
85,XXWXE,96
86,EGGGG,109
87,IGGAW,92
88,BBGPB,95
89,YWYCC,96
90,HHHLH,103
91,FIBUA,87
92,OOKSO,95
93,VFAFF,95
94,WWWWW,122
95,YDYKD,96
96,BBBBB,122
97,RRXUF,92
98,DDSWD,95
99,UAACV,92
100,JJJJL,109
101,WWAHW,95
102,XXXNX,103
103,MMMMQ,109
104,CCCCC,122
105,GROEA,87
106,QNQGK,92
107,OOLOO,104
108,VVVVK,109
